dense,moe,thick,reinf_ring,hoop,drumhead,tune_att,tune_res,RMS,Spectral Flatness,ZCR,Spectral Kurtosis,Spectral Entropy,Spectral Slope,Inharmonicity,Effective Duration,name_file,wood,f0,hoop_top_thickness_mm,hoop_material_density_kg_m3,hoop_effective_thickness_mm,batter_film_total_mil,batter_control_ring_mil,batter_effective_total_mil,batter_is_coated_proxy,batter_dry_vents_proxy,batter_damping_proxy,config_id,wood_acoustic_velocity_m_s,wood_acoustic_impedance_rayl
530,9.31647,5.5,True,STEEL,SIMPLE,85,85,-0.0810668695669107,-0.2195874323949294,-0.1312356790040503,-0.1919247422457855,-0.6350327456577497,-0.5604952477510753,-0.2117639237325815,-0.6964285714285714,0039.wav,teca,206.075,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,80,85,-0.3704936666894261,-0.3688593934591592,-0.571290318070983,-0.2422057045109582,-1.1273834963938665,-0.5365085787953426,-0.2022337683857183,-0.1249999999999999,0040.wav,teca,186.864,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,70,85,-0.214407015289419,-0.6739824885080644,-0.6742386901054855,0.0816910211105872,-0.1046885956528494,0.6740683691293279,-0.1098671801772815,0.482142857142857,0041.wav,teca,195.133,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,60,85,0.27011328629724,-0.2632531683683577,-0.4243727398136878,0.8305189388917475,-0.0309558661219399,0.6761001666871707,-0.436030036001099,0.589285714285714,0042.wav,teca,153.125,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,60,80,1.1355220955672898,0.3999191402549465,-0.2003345267402673,1.2822824567765594,-0.1323478363236347,0.68871435442297,0.1310038274773264,0.6964285714285713,0043.wav,teca,144.118,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,60,70,1.3907977398986289,-0.3613657373907276,-0.1628123335652803,1.5753064207467131,0.5268286830139982,0.9120710578024156,-0.5589894583941019,0.2678571428571428,0044.wav,teca,129.706,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,70,70,0.853710909301336,-0.5457780537827395,-0.5211067973687021,1.6939928761930372,0.2473572865484022,0.6157804398301754,-0.6335628469634189,0.4464285714285713,0045.wav,teca,139.557,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,70,80,0.917051728821364,-0.7111538728094761,-0.705983104099689,0.7637956565821463,-0.283514771271417,0.7495487902755174,-0.3659035531483032,0.0178571428571428,0046.wav,teca,164.552,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,80,80,0.1115018612550799,-0.5798690007983253,-0.8110690560059457,-0.0973464486783757,-0.8398580992901665,-0.3959496954697154,-0.6410423027346922,-0.5892857142857143,0047.wav,teca,179.268,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,80,70,-0.1871046443210473,-0.122184119841285,0.1045024016205917,-0.2386478543729764,-0.0169446549100037,-0.4001230144360391,-0.2398934823945057,-0.6964285714285714,0048.wav,teca,146.026,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
