name_file,wood,thick,f0,tension_att,tension_res,anel_ref,drumskin_att,drumskin_res,hoop,recorded
0130.wav,teca,"5,5",0,70,60,False,COATED,SIMPLE,STEEL,False
0131.wav,teca,"5,5",0,80,60,False,COATED,SIMPLE,STEEL,False
0132.wav,teca,"5,5",0,85,60,False,COATED,SIMPLE,STEEL,False
0133.wav,teca,"5,5",0,85,70,False,COATED,SIMPLE,STEEL,False
0134.wav,teca,"5,5",0,85,80,False,COATED,SIMPLE,STEEL,False
0135.wav,teca,"5,5",0,85,85,False,COATED,SIMPLE,STEEL,False
0136.wav,teca,"5,5",0,80,85,False,COATED,SIMPLE,STEEL,False
0137.wav,teca,"5,5",0,70,85,False,COATED,SIMPLE,STEEL,False
0138.wav,teca,"5,5",0,60,85,False,COATED,SIMPLE,STEEL,False
0139.wav,teca,"5,5",0,60,80,False,COATED,SIMPLE,STEEL,False
0140.wav,teca,"5,5",0,60,70,False,COATED,SIMPLE,STEEL,False
0141.wav,teca,"5,5",0,70,70,False,COATED,SIMPLE,STEEL,False
0142.wav,teca,"5,5",0,70,80,False,COATED,SIMPLE,STEEL,False
0143.wav,teca,"5,5",0,80,80,False,COATED,SIMPLE,STEEL,False
0144.wav,teca,"5,5",0,80,70,False,COATED,SIMPLE,STEEL,False
0145.wav,teca,"8,5",0,60,60,False,COATED,SIMPLE,STEEL,False
0146.wav,teca,"8,5",0,70,60,False,COATED,SIMPLE,STEEL,False
0147.wav,teca,"8,5",0,80,60,False,COATED,SIMPLE,STEEL,False
0148.wav,teca,"8,5",0,85,60,False,COATED,SIMPLE,STEEL,False
0149.wav,teca,"8,5",0,85,70,False,COATED,SIMPLE,STEEL,False
0150.wav,teca,"8,5",0,85,80,False,COATED,SIMPLE,STEEL,False
0151.wav,teca,"8,5",0,85,85,False,COATED,SIMPLE,STEEL,False
0152.wav,teca,"8,5",0,80,85,False,COATED,SIMPLE,STEEL,False
0153.wav,teca,"8,5",0,70,85,False,COATED,SIMPLE,STEEL,False
0154.wav,teca,"8,5",0,60,85,False,COATED,SIMPLE,STEEL,False
0155.wav,teca,"8,5",0,60,80,False,COATED,SIMPLE,STEEL,False
0156.wav,teca,"8,5",0,60,70,False,COATED,SIMPLE,STEEL,False
0157.wav,teca,"8,5",0,70,70,False,COATED,SIMPLE,STEEL,False
0158.wav,teca,"8,5",0,70,80,False,COATED,SIMPLE,STEEL,False
0159.wav,teca,"8,5",0,80,80,False,COATED,SIMPLE,STEEL,False
0160.wav,teca,"8,5",0,80,70,False,COATED,SIMPLE,STEEL,False
0161.wav,copaiba,"5,5","110,804",60,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0162.wav,copaiba,"5,5","122,5",70,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0163.wav,copaiba,"5,5","138,679",80,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0164.wav,copaiba,"5,5","155,282",85,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0165.wav,copaiba,"5,5",175,85,70,True,SIMPLE,SIMPLE,ALUMINUM,True
0166.wav,copaiba,"5,5","188,462",85,80,True,SIMPLE,SIMPLE,ALUMINUM,True
0167.wav,copaiba,"5,5","202,294",85,85,True,SIMPLE,SIMPLE,ALUMINUM,True
0168.wav,copaiba,"5,5","195,133",80,85,True,SIMPLE,SIMPLE,ALUMINUM,True
0169.wav,copaiba,"5,5","173,622",70,85,True,SIMPLE,SIMPLE,ALUMINUM,True
0170.wav,copaiba,"5,5","190,086",60,85,True,SIMPLE,SIMPLE,ALUMINUM,True
0171.wav,copaiba,"5,5","134,451",60,80,True,SIMPLE,SIMPLE,ALUMINUM,True
0172.wav,copaiba,"5,5","121,823",60,70,True,SIMPLE,SIMPLE,ALUMINUM,True
0173.wav,copaiba,"5,5","141,346",70,70,True,SIMPLE,SIMPLE,ALUMINUM,True
0174.wav,copaiba,"5,5","155,282",70,80,True,SIMPLE,SIMPLE,ALUMINUM,True
0175.wav,copaiba,"5,5","180,738",80,80,True,SIMPLE,SIMPLE,ALUMINUM,True
0176.wav,copaiba,"5,5","147,987",80,70,True,SIMPLE,SIMPLE,ALUMINUM,True
0177.wav,araucaria,"5,5","117,287",60,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0178.wav,araucaria,"5,5","126,724",70,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0179.wav,araucaria,"5,5","144,118",80,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0180.wav,araucaria,"5,5","162,132",85,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0181.wav,araucaria,"5,5","169,615",85,70,True,SIMPLE,SIMPLE,ALUMINUM,True
0182.wav,araucaria,"5,5","190,086",85,80,True,SIMPLE,SIMPLE,ALUMINUM,True
0183.wav,araucaria,"5,5","212,019",85,85,True,SIMPLE,SIMPLE,ALUMINUM,True
0184.wav,araucaria,"5,5","195,133",80,85,True,SIMPLE,SIMPLE,ALUMINUM,True
0185.wav,araucaria,"5,5","180,738",70,85,True,SIMPLE,SIMPLE,ALUMINUM,True
0186.wav,araucaria,"5,5","158,633",60,85,True,SIMPLE,SIMPLE,ALUMINUM,True
0187.wav,araucaria,"5,5","147,987",60,80,True,SIMPLE,SIMPLE,ALUMINUM,True
0188.wav,araucaria,"5,5","129,706",60,70,True,SIMPLE,SIMPLE,ALUMINUM,True
0189.wav,araucaria,"5,5","142,258",70,70,True,SIMPLE,SIMPLE,ALUMINUM,True
0190.wav,araucaria,"5,5","165,789",70,80,True,SIMPLE,SIMPLE,ALUMINUM,True
0191.wav,araucaria,"5,5","179,268",80,80,True,SIMPLE,SIMPLE,ALUMINUM,True
0192.wav,araucaria,"5,5",150,80,70,True,SIMPLE,SIMPLE,ALUMINUM,True
0193.wav,teca,"5,5",0,60,60,True,SIMPLE,SIMPLE,ALUMINUM,False
0194.wav,teca,"5,5",0,70,60,True,SIMPLE,SIMPLE,ALUMINUM,False
